Unnamed: 0,Question,A,B,C,D,Answer,Subject
1251,"Divas nedēļas vecam mazulim bija izveidojusies smaga jaundice. Pediatrs informēja zīdaiņa tēvu, ka, ja viņa meita nesaņems tūlītēju medicīnisko palīdzību, viņa nomirs. Tēvs, kurš bija ļoti reliģiozs, atteicās ļaut pediatram veikt nepieciešamo ārstēšanu. Viņš paskaidroja, ka viņa ticība savai reliģijai atjaunos viņa meitai labu veselību. Rezultātā pediatrs lūdza rīkojumu valsts tiesā, kur tēvs bija klāt, atļaujot pedia lai nodrošinātu zīdainim nepieciešamo medicīnisko aprūpi. Kurš no šiem ir tēva spēcīgākais konstitucionālais arguments pret tiesas rīkojumu?",Rīkojums pārkāpj četrpadsmitā grozījuma pienācīga procesa klauzulu.,Rīkojums pārkāpj Četrpadsmitā grozījuma vienlīdzīgas aizsardzības klauzulu.,"Rīkojums pārkāpj Pirmā grozījuma brīvas izmantošanas klauzulu, kas iekļauta ar Četrpadsmito grozījumu.",Rīkojums pārkāpj Četrpadsmitā grozījuma privilēģiju vai imunitātes klauzulu.,C,professional_law
151,"Kura no šīm aizstāvībām varētu būt veiksmīga prāvā, kurā tiek apgalvota VMN nolaidība?",Uzticamības pārbaude,Likuma nezināšana.,Nodomu trūkums.,Garīgo spēju trūkums.,A,professional_accounting
41,"Kļūdas var būt psiholoģiski pārliecinošas, pat ja tās ir...",Psiholoģiski impotents,Loģiski kļūdains,Deduktīvi derīgs,Induktīvi derīgs,B,logical_fallacies
75,Elektriskās pretestības metināšanas materiālā elektrodam jābūt,augstāka elektrovadītspēja.,augstāka siltumvadītspēja.,"pietiekama izturība, lai uzturētu augstu spiedienu paaugstinātā temperatūrā.",LR Ārlietu ministrija.,D,electrical_engineering
107,Jaunākie pētījumi ar akmens rīku replikāciju un smadzeņu attēlveidošanu liek domāt par šādu hipotēzi:,"savienojumi, kas izveidoti instrumentu izgatavošanā, sagatavoja smadzenes valodas ražošanai un lietošanai.","rīku veidošanai ir nepieciešama sadarbība, kas var pastāvēt tikai ar valodu.",rīku veidošana radās miljoniem gadu pēc valodas attīstības.,"savienojumi, kas izveidoti starp smadzenēm un bipedālo kustību, sagatavoja rokas instrumentu izgatavošanai.",A,prehistory
262,Kurš no turpmāk minētajiem ir spēcīgākais pierādījums pacienta atkarībai no vielas,Fizioloģiskā tolerance un abstinence,Pozitīvs urīna tests vielai,Nopietni arodslimības,Jebkādas saistības ar vielu noliegšana,A,professional_psychology
113,"Kāda veida pētniecības metodes ir izstrādātas, lai iegūtu atbildes uz iepriekš noteiktiem, standartizētiem jautājumiem no daudziem respondentiem?",kvantitatīva,kvalitatīvie,Nav ticama.,Varbūtība,A,marketing
257,"Fišeres kundze izmantoja izteicienu (6 × 8) × 12, lai atrastu kopējo marķieru skaitu, kas nepieciešams viņas studentu mākslas projektam. Kura izteiksme ir vienāda ar Fišeres kundzes lietoto?",6 + (8 + 12),6 + (8 × 12),6 × (8 + 12),6 × (8 × 12),D,elementary_mathematics
15,"Habermass izšķir ""tiesības kā vidējas"" un ""tiesības kā institūcija"". Kurš no tālāk minētajiem apgalvojumiem visprecīzāk raksturo šo atšķirību?","Tiesības kā medijs"" raksturo tiesības kā formālu, vispārēju noteikumu kopumu, kas kontrolē valsti un ekonomiku; ""tiesības kā institūcija"" apdzīvo"" dzīves pasauli "" un pauž tās kopīgās vērtības un normas institucionālā formā.","Tiesības kā medijs' sastāv no veida, kādā likums tiek pasniegts medijos; 'likums kā institūcija' raksturo tiesas.","Likums kā medijs"" attiecas uz veidu, kādā likums vienkāršoti izsaka savus noteikumus; ""likums kā institūcija"" attiecas uz likumdevēju oficiālu tiesību aktu deklarēšanu.",Tiesības kā vidējas' tiek definētas kā juridiskās attīstības starpposms; 'tiesības kā institūcija' ir beigu posms.,A,jurisprudence
5,"Nāgels apgalvo, ka skeptiskākie argumenti:",ir patvaļīgi stingru standartu piemērošanas rezultāts.,ir balstīti uz lingvistiskām neskaidrībām.,loģiski sevi atspēko.,"augt, konsekventi piemērojot parastos standartus.",D,philosophy
558,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es tikos bibliotēkā, lai nokopētu viņas izpildītos mājasdarbus. 2. scenārijs | Es esmu medmāsa.  Es cenšos neļaut saviem pacientiem saslimt, saņemot viņiem nepieciešamo ārstēšanu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",B,moral_scenarios
46,"No šiem risinājumiem, kuriem būs visaugstākā jonu izturība? (Pieņemsim pilnīgu disociāciju.)","0,050 M AlCl3","0,100 M NaCl","0,050 M CaCl2","0,100 M HCl",A,college_chemistry
796,"Veikala pircējs redz, ka uz otra pircēja galvas tūlīt uzkritīs vitrīna. Pircējs neko nedara, lai brīdinātu vai palīdzētu otram pircējam, kurš viņai ir svešinieks. Viņa būtu varējusi rīkoties, lai aizsargātu otro pircēju, nekaitējot sev. Vai pircējam bija pienākums rīkoties, lai aizsargātu otru pircēju no traumām?","Nē, pircējam nav pienākuma sniegt palīdzību svešiniekam, pat ja to var izdarīt, nenodarot sev pāri.","Jā, tas, ka persona redz, ka ir nepieciešama rīcība citas personas atbalstam vai aizsardzībai, uzliek juridisku pienākumu rīkoties.","Nē, bezdarbība nekādā gadījumā nerada un nevar radīt atbildību.","Jā, pircējam ir jārīkojas saskaņā ar ""pēdējās skaidras iespējas"" doktrīnu.",A,professional_law
633,"Vintneram piederēja vīna dārzs ar vienkāršu absolūtu. Akts, ar kuru viņai tika nodots vīna dārzs, tika pienācīgi reģistrēts. Vinters pārdeva vīna dārzu vīram un sievai kā kopīgiem īrniekiem, kuri neierakstīja garantijas aktu, ar kuru vīndaris viņiem nodeva vīna dārzu. Vīrs pēc tam pārdeva un nodeva savu nedalīto pusi intereses par vīna dārzu draugam. Draugs nekavējoties ierakstīja savu aktu. Kādu laiku vēlāk vīndaris nodomāja nodot vīna dārzu fa rmer, par vērtīgu atlīdzību. Lauksaimniece, kurai nebija faktisku zināšanu par vīna dārza iepriekšējiem pārvadājumiem, reģistrēja savu aktu. Jurisdikcijā tiek uzturēti alfabētiskie piešķīrēju un saņēmēju indeksi. Piemērojamie uzskaites noteikumi paredz: ""Katra nekustamā īpašuma nodošana nav spēkā attiecībā pret jebkuru nākamo tā paša īpašuma (vai jebkuras tā daļas) pircēju labā ticībā un par vērtīgu atlīdzību, kura nodošana vispirms tiek pienācīgi reģistrēta. "" Neviens no dažādiem v ineyard ir stājies valdījumā tādā veidā, ka ikvienam būtu jāpaziņo par viņu interesēm. Kam pieder vīna dārzs?","Draugs, jo viņš ierakstīja savu aktu, pirms zemnieks ierakstīja.","Draugs un sieva, jo drauga akts lika zemniekam uzzināt par sievas interesi par vīna dārzu.","Lauksaimnieks, jo vīra drauga akts ir ārpus lauksaimnieka īpašumtiesību ķēdes.",Draugs un zemnieks kā kopīgi īrnieki.,C,professional_law
438,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es ātri metu bumbu citam bērnam. 2. scenārijs | Nedēļas nogalē es iepazinos ar juvelierizstrādājumu veikalu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios
227,"Saskaņā ar Konfūcisma cilvēku modeli,","mēs mācāmies būt par personām, izmantojot ģimenes attiecības un mācoties no citu piemēra.","mēs esam personas, jo mums ir nemirstīgas, individuālas dvēseles.","mēs mācāmies būt par personām, palēninot racionālu spēju attīstību.",visi minētie,A,moral_disputes
1,Kurš no šiem apgalvojumiem precīzi neapraksta balsošanas uzvedību Amerikas Savienotajās Valstīs?,"Reģistrētajiem vēlētājiem vecumā no 35 līdz 45 gadiem ir lielāka iespēja balsot nekā tiem, kas jaunāki par 21 gadu.","Reģistrēts vēlētājs, kurš ir sasniedzis savu vispārējo izglītības attīstību (GED), ir mazāk ticams, ka balsos nekā vidusskolas pamešana.",Reģistrētie vēlētāji biežāk balso vispārējās vēlēšanās nekā primārajās vēlēšanās.,Kopš 1980. gada katrās prezidenta vēlēšanās ir balsojušas vairāk sieviešu nekā vīriešu.,B,high_school_government_and_politics
1471,"Profesors, būdams par maksu vienkāršs daudzdzīvokļu mājas īpašnieks, to nodeva šādiem vārdiem: ""Ar šo es nododu savu daudzdzīvokļu māju savam dēlam un meitai kā īrniekiem. "" Aktā, kas tika pienācīgi noformēts, profesors sev rezervēja dzīvības īpašumu. Pēc tam profesors pastāstīja saviem bērniem par savu nodošanu un ievietoja to ģimenes glabātavā bibliotēkā glabāšanai. Pēc tam dēls apprecējās ar ārstu. Profesors, kuram nepatika ārsts, pēc tam izpilda d vēl viens akts, ko viņš nosauca par ""labošanas aktu. "" Ar ""labošanas aktu"" profesors nodeva daudzdzīvokļu māju ""manam dēlam un meitai kā kopīgiem īrniekiem ar apgādnieka zaudējuma tiesībām. "" Saskaņā ar jauno aktu, profesors atkal rezervēja sev dzīvības īpašumu. Abi bērni pieņēma ""labošanas akta"" piegādi. ""Pēc sešiem mēnešiem dēls nomira likumīgi, atstājot ārstu kā savu vienīgo mantinieku. Īpašumtiesības uz daudzdzīvokļu ēku atrodas",meitu un ārstu kā kopīgus īrniekus.,"meita, kas pakļauta profesora dzīves īpašumam.","meita un ārsts kā kopīgi īrnieki, ņemot vērā profesora dzīvības īpašumus.","meitu un ārstu kā kopīpašniekus ar apgādnieka zaudējuma tiesībām, ņemot vērā profesora dzīvību.",C,professional_law
1200,"Kāds puisis nolēma aplaupīt pārtikas veikalu pēc tam, kad viņu atlaida darba strīda laikā. Puisis lūdza savu draudzeni vadīt bēgšanas automašīnu, kurai viņa piekrita, ar nosacījumu, ka laupīšanas laikā netiek izmantoti pielādēti ieroči. Laupīšanas dienā puisis ar draudzeni brauca uz pārtikas veikalu. Draudzenei nezināms puisis iegāja veikalā ar pielādētu ieroci. Draugs piegāja pie viena no kasieriem un lika viņam piepildīt somu ar visu naudu no reģistrs. Kad kasieris atteicās, puisis viņu nošāva un nogalināja. Tad viņš pagriezās pret nākamo kasieri un pavērsa pret viņu savu ieroci. Kasiere pārcieta sirdslēkmi un nomira. Pēc tam draugs pats paņēma naudu no reģistriem un izgāja no veikala. Viens no klientiem bija izsaucis policiju, un viņi gaidīja ārā. Sekoja apšaude, un puisi nogalināja policija. Ja šī jurisdikcija atbilst aģentūras teorijai par noziedzīgu slepkavību, draudzene ir vainīga, ja h ir daudz slepkavību?",1,2,3,Nav.,B,professional_law
98,"Mikrodators, ko izmanto datu iegūšanai un kontrolei, ir nepieciešams, lai digitalizētu un apstrādātu četrus analogos ieejas signālus un nepārtraukti izvadītu to vidējo vērtību, t.i., reāllaikā. Ārējā analogciparu pārveidotāja (ko aktivizē CPU instrukcija) laiks, lai digitalizētu vienu ievadi, ir 12 mikrosekundes, un vienlaikus notiek tikai viena digitalizācija. Katram digitalizētajam signālam jāizpilda piecas centrālā procesora instrukcijas, tostarp aktivizēšanas instrukcija. Desmit centrālā procesora instrukcijas tiek izpildītas lai aprēķinātu vidējo vērtību katram četru paraugu komplektam un izvadītu šo vērtību. Laiks, lai konvertētu izvadi no digitālās uz analogo formu, ir jāignorē. Ja tiek pieņemts, ka tiek izmantota piemērota datu buferēšana, tad maksimālais vidējais instrukcijas izpildes laiks, kas ļauj mikrodatoram sekot līdzi ievades-izvades datu ātrumam, ir","0,8 mikrosekundes","1,2 mikrosekundes","1,6 mikrosekundes","2,4 mikrosekundes",C,college_computer_science
97,"""Korespondences princips"" (Bowles & Gintis) liek domāt, ka:","skolas sagatavo bērnus darbam, mācot viņus būt paklausīgiem",skolotājiem un vecākiem ir līdzīga attieksme pret mācīšanos,"bērniem, kuri raksta daudz burtu, ir labāka izpratne par valodu",zēnu un meiteņu izglītības sasniegumi pēdējā laikā ir kļuvuši līdzīgi,A,sociology
456,Kurš no šiem vislabāk ilustrē sensoro adaptāciju?,"dziesmas baudīšana, jo vairāk jūs to dzirdat","nekavējoties reaģē katru reizi, kad atskan ugunsgrēka signalizācija","neapzinoties, cik auksts ir baseins pēc tam, kad dažas minūtes atradāties zem ūdens","liela paļaušanās uz dzirdi, ejot pa tumšu koridoru",C,high_school_psychology
248,"Artefakti ir rūpīgi jāatklāj un sākotnēji jāatstāj vietā, lai reģistrētu:",artefaktu un apkārtējās augsnes sastāvu.,telpiskos kontekstus un asociācijas.,iespējamo faunas mezglu vai kaulu klātbūtni.,"apkārtējo ziedputekšņu klātbūtne, morfoloģija un sugas.",B,prehistory
218,"Džonam ir pieci bērni. Kāda ir varbūtība, ka vismaz puse no viņiem ir meitenes? (Mēs varam pieņemt, ka zēnam ir tikpat liela iespēja piedzimt kā meitenei, un otrādi.)",\frac {1}{2},\frac {1}{4},\frac {1}{8},\frac {3}{5},A,high_school_mathematics
30,"35 gadus veca sieviete ierodas birojā 3 dienu smagu muguras sāpju dēļ. Viņai nav bijis drudža, drebuļu vai svara zuduma. Viņai nav bijusi nopietna medicīniska slimība. Skeleta-muskuļu un neiroloģiskie izmeklējumi neuzrāda anomālijas. Kad viņai paziņo, ka izmeklējums ir normāls, paciente asaro un pieprasa veikt muguras MR, jo viņas māte tikko nomira no krūts vēža, kas bija metastātisks kaulos, un viņa baidās, ka viņai varētu būt arī vēzis. Pacients jau sazinājās viņas apdrošināšanas sabiedrība, kas viņai teica, ka, ja viņai ir neiroloģiskas novirzes, MRI var būt iekļauts viņas plānā. Paciente lūdz ārstu pasūtīt magnētisko rezonansi, norādot, ka viņai ir neiroloģiskas atrades. Kura no šīm darbībām ir vispiemērotākā ārsta sākotnējā rīcība?","Iesakiet pacientam mainīt apdrošināšanas sabiedrības, tiklīdz tas ir iespējams, lai viņa varētu saņemt visaptverošāku medicīnisko aprūpi","Paskaidrojiet, ka pacientam nav nepieciešams magnētiskās rezonanses izmeklējums un ka nav lietderīgi sagrozīt izmeklējuma rezultātus","Nekavējoties informējiet pacienta apdrošināšanas sabiedrību par to, ko pacients ir lūdzis darīt ārstam",Pasūtiet magnētisko rezonansi pēc pacienta pieprasījuma,B,professional_medicine
84,"Termins ""aktīvi"" attiecas uz:","kulturāli vērtīgas preces un dzīves līmenis, kas nabadzīgajiem liek justies relatīvi trūkumcietējiem","naudas plūsma, ko persona saņem no savas algas vai algas","saimniecisko resursu krājums, tostarp zeme, akcijas un banku noguldījumi","iedzīvotāju daļas, kurām pieder atšķirīgs bagātības daudzums",C,sociology
161,"Šerifa pētījums par laupītāju alu norādīja, ka kurš no šiem principiem vislabāk palīdz samazināt spriedzi starp grupām?",pārpasaulīgi mērķi,Atbildības sadalījums,grupas polarizācija,atdalīšana,A,high_school_psychology
170,Kura skaitļu grupa ir secībā no mazākās līdz lielākajai?,"0,25 1,6 1,0","1,0 0,25 1,6","0,25 1,0 1,6","1,6 1,0 0,25",C,elementary_mathematics
4,"Izmantojiet šo taustiņu, lai pārtulkotu doto PL formulu uz dabiskiem, angļu valodas teikumiem.
A.: Marina lasa Persija Džeksona grāmatu.
B: Izzy spēlē Minecraft.
C: Emīlija pārstāj strādāt.
D: Rasels gatavo vakariņas.
E: Ešlija ierodas.
(~B • E) D","Ja nav tā, ka abi Izi spēlē Minecraft un Ešlija apstājas, tad Rasels gatavo vakariņas.","Ja nav tā, ka Izija spēlē Minecraft un Ešlija apstājas, tad Rasels gatavo vakariņas.","Izzy, spēlējot Minecraft un Ashleigh, kas apstājas, nozīmē, ka Rasels gatavo vakariņas.","Rasela gatavotās vakariņas ir pietiekams nosacījums, lai Izija nespēlētu Minecraft un Ešliju.",B,formal_logic
41,Likums par robežatdeves samazināšanu ir atbildīgs par,"AVC, kas vispirms palielinās, bet galu galā samazinās, palielinoties izlaidei.","AFC, kas vispirms palielinās, bet galu galā samazinās, palielinoties izlaidei.","MP, kas vispirms samazinās, bet galu galā pieaug, palielinoties izlaidei.","MC, kas vispirms samazinās, bet galu galā palielinās, palielinoties izlaidei.",D,high_school_microeconomics
164,"Kooperatīvās mācīšanās laikā visi A grupas studenti sākotnēji bija pret nāvessodu, savukārt divi no B grupas studentiem bija pret nāvessodu un divi atbalstīja nāvessodu. Saskaņā ar pētījumiem, pēc intensīvām diskusijām katrā grupā par nāvessodu, mēs sagaidām",abas grupas moderētu savas pozīcijas,"A grupas dalībnieki moderētu savas pozīcijas, bet B grupas dalībnieki saglabātu savas sākotnējās pozīcijas","A grupa nostiprinātos, bet B grupas dalībnieki moderētu savas pozīcijas","A grupas dalībnieki saglabātu savas sākotnējās pozīcijas, bet B grupas dalībnieki moderētu savas pozīcijas",C,high_school_psychology
951,"Federālā darbinieku arodbiedrība iesniedza prasību federālajā tiesā, pieprasot aizliegt ASV Valsts kases departamentam ieviest obligātas narkotiku pārbaudes pret tās locekļiem, kuri, pildot savus oficiālos pienākumus, nēsāja šaujamieročus vai narkotiskās vielas. Kad darbinieks kādā no šīm kategorijām meklēja paaugstinājumu amatā, valdība pieprasīja viņam vai viņai iziet programmu urīna paraugu nodošanai analīzei. Arodbiedrība apgalvoja, ka šie meklējumi pārkāpj Ceturtā grozījuma platformu privātumu un būt brīvam no nepamatotas meklēšanas. Arodbiedrība lietu zaudēja apakšējā federālajā tiesā un Apelācijas tiesā, bet Amerikas Savienoto Valstu Augstākā tiesa piekrita to izskatīt. Ko lems Augstākā tiesa?","Narkotiku testēšanas politika ir pretrunā konstitūcijai, jo meklēšana tiek veikta bez ticama iemesla vai aizdomām.","Narkotiku testēšanas politika ir antikonstitucionāla, jo tā pārkāpj darbinieku tiesisko paļāvību uz privātumu.","Ir pamatoti bez aizdomām veikt pārbaudes darbiniekiem, kuri ir iesaistīti narkotiku aizliegšanā vai darbībās ar šaujamieročiem.",Valdības darba devējam ir saprātīgi veikt bez aizdomām veiktas kratīšanas jebkuros apstākļos.,C,professional_law
76,"Poliovīruss var visvieglāk kļūt virulents, izmantojot kādu no šiem procesiem?",RNS genoma mutācija tikai dažās pozīcijās,Atkārtota kombinācija ar citu enterovīrusu,Olbaltumvielu pārklājuma maiņa,Vairākas nukleotīdu dzēšanas un aizvietošanas,A,virology
1143,"Sievietes vārdā iesniegtajā sūdzībā par pansionātu un ātrās palīdzības dienestu bija šādi apgalvojumi: Sievieti, kura bija 86 gadus veca un nespēja runāt pēc insulta, ātrās palīdzības dienests paņēma no meitas mājas un aizveda uz pansionātu, lai paliktu, kamēr meita bija ārpus pilsētas. Kad pēc dažām dienām atgriezās sievietes meita, ātrās palīdzības dienests sievieti paņēma no pansionāta un nogādāja meitas mājā. T meita bija satriekta, uzzinot, ka sieviete bija satriekta, uzzinot, ka sievietei ir lauzta kāja; kāja bija nesavainota, kad viņa devās uz pansionātu. Sūdzībai pievienotajā ārsta ziņojumā bija teikts, ka sievietes kājas trauma nebūtu radusies bez nolaidības. Sūdzībā arī tika apgalvots, ka sieviete secīgi atradās ātrās palīdzības dienesta un pansionāta kontrolē laikā, kad viņai bija jācieš no traumas, un ka neatliekamās medicīniskās palīdzības dienestam vai pansionātam ir nevērīgi jāpārvieto vai jārīkojas ar sievieti, izraisot kājas traumu. Abi atbildētāji ir apgalvojuši, ka sūdzībā minētie apgalvojumi nav pietiekami, lai pamatotu prasību par nolaidību. Kāda ir labākā atbilde uz atbildētāju argumentu?",Abiem apsūdzētajiem bija pienākums pret sievieti.,"Viens no diviem atbildētājiem, iespējams, izraisīja kaitējumu, un kaitējuma apstākļi galvenokārt ir atbildētāju, nevis sievietes vai viņas pārstāvja zināšanās un kontrolē.","Atbildētāji vienlaikus ir likumpārkāpēji, tāpēc katrs ir atbildīgs par jebkuru cita izdarītu spīdzinošu darbību.","Faktu konstatētājam ir pamats secināt, ka abi atbildētāji ir bijuši nolaidīgi.",B,professional_law
75,Dažu nedēļu laikā pēc ārstēšanas ar zālēm 3TC pacienta HIV populācija sastāv tikai no 3TC rezistentiem vīrusiem. Kā vislabāk izskaidrot šo rezultātu?,HIV var mainīt savas virsmas olbaltumvielas un pretoties vakcīnām.,Pacientam jābūt atkārtoti inficētam ar 3TC rezistentiem vīrusiem.,"HIV, reaģējot uz zālēm, sāka veidot pret zālēm rezistentas reversās transkriptāzes versijas.","Ārstēšanas sākumā bija daži pret zālēm rezistenti vīrusi, un dabiskā izlase palielināja to biežumu.",D,high_school_biology
221,"Pieņemsim, ka ir tikai divas preces: x un y. Kurš no šiem apgalvojumiem NAV pareizs?",Var būt salīdzinošas priekšrocības abu preču ražošanā.,"Var būt gan absolūta priekšrocība, gan salīdzinoša priekšrocība, ražojot x.","Cilvēkam var būt absolūta priekšrocība un nav salīdzinošas priekšrocības, ražojot x.","Cilvēkam var būt salīdzinoša priekšrocība un nav absolūtas priekšrocības, ražojot x.",A,high_school_microeconomics
133,"Mūzikas vitrīnas grafiks ietver 3 komplektus, kas katrs ir 20 minūtes, un 1 komplektu, kas ir 40 minūtes. Starp katru komplektu ir 10 minūšu pārtraukums. Kopējais mūzikas vitrīnas garums ir 3(20 + 10) + 40 minūtes. Kāds ir mūzikas vitrīnas kopējais garums?",73 minūtes,110 minūtes,130 minūtes,210 minūtes,C,elementary_mathematics
